n_estimators,max_depth,random_state,score
13,13,83,95.2
13,13,84,94.9
13,13,85,95.1
13,13,86,94.9
13,13,87,95.7
13,13,88,95.7
13,13,89,95.0
13,13,90,95.7
13,13,91,95.8
13,13,92,95.2
13,13,93,95.7
13,13,94,95.2
13,13,95,95.0
13,13,96,95.5
13,13,97,95.4
13,13,98,95.3
13,13,99,95.0
13,14,1,95.4
13,14,2,95.1
13,14,3,95.4
13,14,4,95.3
13,14,5,95.5
13,14,6,95.3
13,14,7,95.3
13,14,8,95.2
13,14,9,95.5
13,14,10,95.3
13,14,11,95.1
13,14,12,95.6
13,14,13,95.4
13,14,14,95.5
13,14,15,95.4
13,14,16,95.4
13,14,17,94.7
13,14,18,95.3
13,14,19,95.8
13,14,20,95.5
13,14,21,95.6
13,14,22,96.3
13,14,23,95.7
13,14,24,95.5
13,14,25,95.5
13,14,26,95.4
13,14,27,95.4
13,14,28,95.3
13,14,29,95.7
13,14,30,95.6
13,14,31,96.0
13,14,32,95.9
13,14,33,95.0
13,14,34,95.8
13,14,35,96.0
13,14,36,95.1
13,14,37,95.7
13,14,38,95.5
13,14,39,95.1
13,14,40,95.5
13,14,41,95.6
13,14,42,95.3
13,14,43,95.8
13,14,44,95.5
13,14,45,95.6
13,14,46,95.8
13,14,47,95.4
13,14,48,95.9
13,14,49,95.7
13,14,50,95.4
13,14,51,95.6
13,14,52,95.6
13,14,53,95.7
13,14,54,96.1
13,14,55,96.1
13,14,56,95.3
13,14,57,95.0
13,14,58,96.0
13,14,59,95.5
13,14,60,95.6
13,14,61,95.5
13,14,62,95.6
13,14,63,95.8
13,14,64,95.2
13,14,65,95.5
13,14,66,95.1
13,14,67,95.6
13,14,68,95.5
13,14,69,95.0
13,14,70,95.2
13,14,71,95.9
13,14,72,95.5
13,14,73,95.6
13,14,74,95.7
13,14,75,95.6
13,14,76,95.5
13,14,77,95.7
13,14,78,95.7
13,14,79,95.3
13,14,80,95.8
13,14,81,95.3
13,14,82,95.3
13,14,83,95.5
13,14,84,95.4
13,14,85,95.9
13,14,86,95.6
13,14,87,95.4
13,14,88,95.5
13,14,89,94.8
13,14,90,95.3
13,14,91,95.5
13,14,92,95.8
13,14,93,95.8
13,14,94,95.7
13,14,95,95.4
13,14,96,95.3
13,14,97,95.0
13,14,98,95.4
13,14,99,95.0
13,15,1,95.3
13,15,2,95.1
13,15,3,95.6
13,15,4,95.3
13,15,5,95.6
13,15,6,95.6
13,15,7,95.4
13,15,8,95.9
13,15,9,95.4
13,15,10,95.6
13,15,11,95.7
13,15,12,95.5
13,15,13,95.3
13,15,14,95.3
13,15,15,96.0
13,15,16,95.6
13,15,17,95.4
13,15,18,95.6
13,15,19,95.4
13,15,20,95.9
13,15,21,95.6
13,15,22,95.6
13,15,23,95.4
13,15,24,95.5
13,15,25,95.6
13,15,26,95.3
13,15,27,95.3
13,15,28,95.6
13,15,29,95.6
13,15,30,95.3
13,15,31,95.9
13,15,32,95.7
13,15,33,95.5
13,15,34,95.7
13,15,35,96.0
13,15,36,95.7
13,15,37,95.4
13,15,38,95.3
13,15,39,95.2
13,15,40,95.6
13,15,41,95.9
13,15,42,95.5
13,15,43,95.9
13,15,44,95.6
13,15,45,95.4
13,15,46,95.3
13,15,47,95.9
13,15,48,95.7
13,15,49,95.6
13,15,50,95.5
13,15,51,95.2
13,15,52,95.7
13,15,53,95.4
13,15,54,95.6
13,15,55,95.7
13,15,56,95.5
13,15,57,95.4
13,15,58,95.7
13,15,59,95.5
13,15,60,95.7
13,15,61,95.9
13,15,62,95.1
13,15,63,95.6
13,15,64,95.0
13,15,65,95.3
13,15,66,95.7
13,15,67,95.5
13,15,68,95.3
13,15,69,95.3
13,15,70,95.4
13,15,71,95.3
13,15,72,95.5
13,15,73,95.7
13,15,74,96.0
13,15,75,95.7
13,15,76,95.7
13,15,77,95.0
13,15,78,95.9
13,15,79,95.2
13,15,80,95.6
13,15,81,95.2
13,15,82,95.1
13,15,83,95.5
13,15,84,95.3
13,15,85,95.7
13,15,86,95.5
13,15,87,95.5
13,15,88,96.1
13,15,89,95.4
13,15,90,95.6
13,15,91,96.0
13,15,92,95.5
13,15,93,95.9
13,15,94,95.5
13,15,95,95.1
13,15,96,95.6
13,15,97,95.6
13,15,98,95.4
13,15,99,95.3
14,10,1,95.0
14,10,2,94.8
14,10,3,94.4
14,10,4,94.4
14,10,5,94.5
14,10,6,95.0
14,10,7,94.4
14,10,8,94.9
14,10,9,94.9
14,10,10,94.5
14,10,11,94.8
14,10,12,94.6
14,10,13,94.6
14,10,14,94.6
14,10,15,94.4
14,10,16,94.8
14,10,17,94.7
14,10,18,94.8
14,10,19,94.5
14,10,20,94.5
14,10,21,94.6
14,10,22,94.7
14,10,23,93.9
14,10,24,95.0
14,10,25,94.4
14,10,26,94.5
14,10,27,94.0
14,10,28,94.7
14,10,29,94.9
14,10,30,95.0
14,10,31,94.3
14,10,32,94.4
14,10,33,94.6
14,10,34,94.8
14,10,35,94.7
14,10,36,94.3
14,10,37,94.4
14,10,38,94.6
14,10,39,95.0
14,10,40,95.2
14,10,41,94.1
14,10,42,94.1
14,10,43,94.9
14,10,44,94.6
14,10,45,94.5
14,10,46,94.4
14,10,47,93.9
14,10,48,94.8
14,10,49,94.7
14,10,50,94.0
14,10,51,94.2
14,10,52,94.2
14,10,53,94.6
14,10,54,95.0
14,10,55,95.0
14,10,56,94.5
14,10,57,94.9
14,10,58,94.6
14,10,59,94.4
14,10,60,94.3
14,10,61,94.3
14,10,62,94.9
14,10,63,94.8
14,10,64,94.4
14,10,65,94.6
14,10,66,94.7
14,10,67,94.1
14,10,68,94.9
14,10,69,94.9
14,10,70,94.8
14,10,71,94.8
14,10,72,94.7
14,10,73,94.6
14,10,74,94.7
14,10,75,94.4
14,10,76,94.7
14,10,77,94.5
14,10,78,94.4
14,10,79,94.3
14,10,80,94.6
14,10,81,94.2
14,10,82,94.7
14,10,83,94.5
14,10,84,94.5
14,10,85,94.7
14,10,86,94.7
14,10,87,94.2
14,10,88,95.3
14,10,89,94.4
14,10,90,94.9
14,10,91,94.3
14,10,92,94.8
14,10,93,94.2
14,10,94,94.7
14,10,95,94.7
14,10,96,94.2
14,10,97,95.1
14,10,98,94.2
14,10,99,95.1
14,11,1,95.2
14,11,2,95.0
14,11,3,95.0
14,11,4,95.3
14,11,5,94.7
14,11,6,94.9
14,11,7,95.3
14,11,8,94.7
14,11,9,95.2
14,11,10,95.3
14,11,11,94.9
14,11,12,95.1
14,11,13,94.8
14,11,14,95.0
14,11,15,94.9
14,11,16,95.4
14,11,17,95.3
14,11,18,95.4
14,11,19,95.2
14,11,20,95.2
14,11,21,95.0
14,11,22,94.6
14,11,23,95.3
14,11,24,94.7
14,11,25,95.1
14,11,26,95.0
14,11,27,94.8
14,11,28,95.5
14,11,29,95.1
14,11,30,94.4
14,11,31,94.9
14,11,32,95.0
14,11,33,94.9
14,11,34,95.1
14,11,35,95.3
14,11,36,95.2
14,11,37,95.1
14,11,38,95.1
14,11,39,95.1
14,11,40,95.5
14,11,41,94.7
14,11,42,95.1
14,11,43,95.5
14,11,44,95.1
14,11,45,95.0
14,11,46,94.6
14,11,47,95.2
14,11,48,94.9
14,11,49,95.0
14,11,50,95.1
14,11,51,95.1
14,11,52,95.3
14,11,53,95.2
14,11,54,94.7
14,11,55,95.1
14,11,56,95.6
14,11,57,95.1
14,11,58,94.7
14,11,59,94.8
14,11,60,95.0
14,11,61,94.8
14,11,62,95.1
14,11,63,94.6
14,11,64,94.8
14,11,65,95.2
14,11,66,95.3
14,11,67,95.0
14,11,68,95.3
14,11,69,95.7
14,11,70,94.8
14,11,71,95.1
14,11,72,94.8
14,11,73,95.2
14,11,74,94.8
14,11,75,94.7
14,11,76,95.1
14,11,77,95.1
14,11,78,95.7
14,11,79,95.2
14,11,80,94.5
14,11,81,95.2
14,11,82,94.6
14,11,83,95.2
14,11,84,95.2
14,11,85,95.1
14,11,86,94.8
14,11,87,95.0
14,11,88,95.3
14,11,89,94.9
14,11,90,95.0
14,11,91,94.5
14,11,92,95.5
14,11,93,95.3
14,11,94,95.0
14,11,95,94.5
14,11,96,94.8
14,11,97,95.1
14,11,98,94.8
14,11,99,94.6
14,12,1,95.4
14,12,2,94.9
14,12,3,95.7
14,12,4,94.9
14,12,5,95.5
